"mthyr","country","price","year","month"
1998-03-01,"Greece",113.9696,1998,3
1998-03-01,"Ireland",81.0767,1998,3
1998-03-01,"Italy",80.0849,1998,3
1998-03-01,"Netherlands",67.655,1998,3
1998-03-01,"Spain",76.1176,1998,3
1998-04-01,"Belgium",71.727,1998,4
1998-04-01,"Denmark",65.9721,1998,4
1998-04-01,"France",71.3287,1998,4
1998-04-01,"Greece",110.8918,1998,4
1998-04-01,"Ireland",81.8141,1998,4
1998-04-01,"Italy",85.5899,1998,4
1998-04-01,"Netherlands",67.2953,1998,4
1998-04-01,"Spain",72.474,1998,4
1998-05-01,"Belgium",69.5752,1998,5
1998-05-01,"Denmark",66.2638,1998,5
1998-05-01,"France",70.8896,1998,5
1998-05-01,"Greece",112.0525,1998,5
1998-05-01,"Ireland",82.1699,1998,5
1998-05-01,"Italy",85.8694,1998,5
1998-05-01,"Netherlands",67.1746,1998,5
1998-05-01,"Spain",71.9535,1998,5
1998-06-01,"Belgium",77.3816,1998,6
1998-06-01,"Denmark",65.0552,1998,6
1998-06-01,"France",72.331,1998,6
1998-06-01,"Greece",113.6733,1998,6
1998-06-01,"Ireland",82.0499,1998,6
1998-06-01,"Italy",88.2696,1998,6
1998-06-01,"Netherlands",66.9829,1998,6
1998-06-01,"Spain",83.3607,1998,6
1998-07-01,"Belgium",84.0468,1998,7
1998-07-01,"Denmark",65.0357,1998,7
1998-07-01,"France",69.0528,1998,7
1998-07-01,"Greece",116.1528,1998,7
1998-07-01,"Ireland",81.9187,1998,7
1998-07-01,"Italy",86.8959,1998,7
1998-07-01,"Netherlands",66.083,1998,7
1998-07-01,"Spain",87.6849,1998,7
1998-08-01,"Belgium",86.1622,1998,8
1998-08-01,"Denmark",64.6406,1998,8
1998-08-01,"France",68.914,1998,8
1998-08-01,"Greece",114.1286,1998,8
1998-08-01,"Ireland",81.8854,1998,8
1998-08-01,"Italy",102.7521,1998,8
1998-08-01,"Netherlands",66.6239,1998,8
1998-08-01,"Spain",90.55,1998,8
1998-09-01,"Belgium",74.3006,1998,9
1998-09-01,"Denmark",62.84,1998,9
1998-09-01,"France",67.184,1998,9
1998-09-01,"Greece",112.2745,1998,9
1998-09-01,"Ireland",74.6063,1998,9
1998-09-01,"Italy",109.2669,1998,9
1998-09-01,"Netherlands",66.8088,1998,9
1998-09-01,"Spain",94.6637,1998,9
1998-10-01,"Belgium",58.5496,1998,10
1998-10-01,"Denmark",63.0485,1998,10
1998-10-01,"France",66.5317,1998,10
1998-10-01,"Greece",113.3659,1998,10
1998-10-01,"Ireland",74.1985,1998,10
1998-10-01,"Italy",97.7026,1998,10
1998-10-01,"Netherlands",66.1799,1998,10
1998-10-01,"Spain",79.1122,1998,10
1998-11-01,"Belgium",49.8413,1998,11
1998-11-01,"Denmark",58.9737,1998,11
1998-11-01,"France",65.4357,1998,11
1998-11-01,"Greece",117.0971,1998,11
1998-11-01,"Ireland",73.9181,1998,11
1998-11-01,"Italy",86.2004,1998,11
1998-11-01,"Netherlands",64.3243,1998,11
1998-11-01,"Spain",72.5245,1998,11
1998-12-01,"Belgium",60.1891,1998,12
1998-12-01,"Denmark",58.9524,1998,12
1998-12-01,"France",65.2514,1998,12
1998-12-01,"Greece",116.7676,1998,12
1998-12-01,"Ireland",72.3255,1998,12
1998-12-01,"Italy",84.9311,1998,12
1998-12-01,"Netherlands",61.6542,1998,12
1998-12-01,"Spain",71.575,1998,12
1999-01-01,"Belgium",73.7483,1999,1
1999-01-01,"Denmark",58.9959,1999,1
1999-01-01,"France",64.8671,1999,1
1999-01-01,"Greece",117.898,1999,1
1999-01-01,"Ireland",72.7941,1999,1
1999-01-01,"Italy",92.8414,1999,1
1999-01-01,"Netherlands",60.3528,1999,1
1999-01-01,"Spain",66.8386,1999,1
1999-02-01,"Belgium",67.551,1999,2
1999-02-01,"Denmark",59.0435,1999,2
1999-02-01,"France",64.2115,1999,2
1999-02-01,"Greece",118.7081,1999,2
1999-02-01,"Ireland",72.3751,1999,2
1999-02-01,"Italy",96.9958,1999,2
1999-02-01,"Netherlands",60.3528,1999,2
1999-02-01,"Spain",75.409,1999,2
1999-03-01,"Belgium",63.7086,1999,3
1999-03-01,"Denmark",59.0649,1999,3
1999-03-01,"France",63.8609,1999,3
1999-03-01,"Greece",118.4176,1999,3
1999-03-01,"Ireland",73.2258,1999,3
1999-03-01,"Italy",97.9631,1999,3
1999-03-01,"Netherlands",59.899,1999,3
1999-03-01,"Spain",73.4377,1999,3
1999-04-01,"Belgium",52.6774,1999,4
1999-04-01,"Denmark",59.0633,1999,4
1999-04-01,"France",63.4035,1999,4
1999-04-01,"Greece",117.5571,1999,4
1999-04-01,"Ireland",73.2258,1999,4
1999-04-01,"Italy",88.7686,1999,4
1999-04-01,"Netherlands",59.4452,1999,4
1999-04-01,"Spain",63.1664,1999,4
1999-05-01,"Belgium",58.8747,1999,5
1999-05-01,"Denmark",59.0586,1999,5
1999-05-01,"France",63.4188,1999,5
1999-05-01,"Greece",117.4957,1999,5
1999-05-01,"Ireland",73.2258,1999,5
1999-05-01,"Italy",77.8915,1999,5
1999-05-01,"Netherlands",58.5376,1999,5
1999-05-01,"Spain",66.4239,1999,5
1999-06-01,"Belgium",44.9431,1999,6
1999-06-01,"Denmark",58.9391,1999,6
1999-06-01,"France",63.7389,1999,6
1999-06-01,"Greece",117.092,1999,6
1999-06-01,"Ireland",73.2258,1999,6
1999-06-01,"Italy",69.1613,1999,6
1999-06-01,"Netherlands",57.6301,1999,6
1999-06-01,"Spain",62.1266,1999,6
1999-07-01,"Belgium",42.4642,1999,7
